1|VOD|ET01|60|60|Y|N|Y|1|E
2|ETC|ET01|60|60|Y|N|Y|1|E
3|WAV|ET01|60|60|Y|N|Y|1|E
4|VOP|ET01|60|60|Y|N|N|1|E
5|VDN|ET01|60|60|Y|N|Y|1|E
6|FRE|ET01|60|60|Y|N|Y|1|E
7|HDTP|ET01|60|60|Y|N|Y|1|E
9|WAP|WA01|60|60|Y|Y|Y|1|W
10|GVM|ET01|60|60|Y|Y|Y|1|E
11|MMS|HT01|60|60|Y|Y|Y|1|H
12|NG|HT01|60|60|Y|Y|Y|1|H
13|PHOTO|HT01|60|60|Y|Y|Y|1|H
14|SKV|HT01|60|60|Y|Y|Y|1|H
15|TIG|HT01|60|60|Y|Y|Y|1|H
16|WITOP|HT01|60|60|Y|Y|Y|1|H
17|RAD|UG01|60|0|N|Y|N|1|
18|MBK|ET01|60|60|Y|N|Y|1|E
19|STO|ET01|60|60|Y|N|Y|1|E
21|WIPI|HT01|60|60|Y|Y|Y|1|H
22|MIM|ET01|60|60|Y|N|Y|1|E
23|VMT|HT01|60|60|Y|Y|Y|1|H
24|PDA|HT01|60|60|Y|Y|Y|1|H
25|RTV|ET01|60|60|Y|N|Y|1|E
26|STC|ET01|60|60|Y|N|Y|1|E
27|TUM|ET01|60|60|Y|N|Y|1|E
28|WOS|ET01|60|60|Y|N|Y|1|E
29|MPO|ET01|60|60|Y|N|Y|1|E
30|DNS|ET01|60|60|Y|Y|Y|1|E
31|POH|ET01|60|60|Y|N|Y|1|E
32|POP|ET01|60|60|Y|N|Y|1|E
33|STV|ET01|60|60|Y|N|Y|1|E
34|TIN|ET01|60|60|Y|N|Y|1|E
35|BIZ|ET01|60|60|Y|N|Y|1|E
40|TTD|ET01|60|60|Y|N|Y|1|E
41|DN1|ET01|60|60|Y|N|Y|1|E
42|FR1|ET01|60|60|Y|N|Y|1|E
43|FR3|ET01|60|60|Y|N|Y|1|E
44|FR5|ET01|60|60|Y|N|Y|1|E
45|LB1|ET01|60|60|Y|N|Y|1|E
46|MM1|ET01|60|60|Y|N|Y|1|E
47|ST1|ET01|60|60|Y|N|Y|1|E
48|ST2|ET01|60|60|Y|N|Y|1|E
55|SRU|ET01|60|60|Y|N|Y|1|E
61|CDN|ET01|60|60|Y|N|Y|1|E
62|DGS|ET01|60|60|Y|N|Y|1|E
63|FCA|ET01|60|60|Y|N|Y|1|E
64|FCC|ET01|60|60|Y|N|Y|1|E
65|GCR|ET01|60|60|Y|N|Y|1|E
66|GSH|ET01|60|60|Y|N|Y|1|E
67|HHI|ET01|60|60|Y|N|Y|1|E
68|HHS|ET01|60|60|Y|N|Y|1|E
69|KNX|ET01|60|60|Y|N|Y|1|E
70|KSR|ET01|60|60|Y|N|Y|1|E
71|LNM|ET01|60|60|Y|N|Y|1|E
72|LTH|ET01|60|60|Y|N|Y|1|E
73|MHC|ET01|60|60|Y|N|Y|1|E
74|MIB|ET01|60|60|Y|N|Y|1|E
75|MIN|ET01|60|60|Y|N|Y|1|E
76|MSG|ET01|60|60|Y|N|Y|1|E
77|NAM|ET01|60|60|Y|N|Y|1|E
78|OMA|ET01|60|60|Y|N|Y|1|E
79|OMM|ET01|60|60|Y|N|Y|1|E
80|PGD|ET01|60|60|Y|N|Y|1|E
81|PRE|ET01|60|60|Y|N|Y|1|E
82|PSK|ET01|60|60|Y|N|Y|1|E
83|SGC|ET01|60|60|Y|N|Y|1|E
84|USF|ET01|60|60|Y|N|Y|1|E
85|WCR|ET01|60|60|Y|N|Y|1|E
86|WTO|ET01|60|60|Y|N|Y|1|E
87|XMS|ET01|60|60|Y|N|Y|1|E
90|IP|ET01|60|60|Y|N|Y|1|E
91|TCP|ET01|60|60|Y|N|Y|1|E
92|UDP|ET01|60|60|Y|N|Y|1|E
93|ICMP|ET01|60|60|Y|N|Y|1|E
94|IPD|ET01|60|60|Y|N|Y|1|E
95|MBV|ET01|60|60|Y|N|Y|1|E
96|CMA|ET01|60|60|Y|N|Y|1|E
97|DSP|ET01|60|60|Y|N|Y|1|E
98|CJH|ET01|60|60|Y|N|Y|1|E
99|ARW|ET01|60|60|Y|N|Y|1|E
100|SKW|ET01|60|60|Y|N|Y|1|E
101|OCB|ET01|60|60|Y|N|Y|1|E
102|BTB|ET01|60|60|Y|N|Y|1|E
103|URB|ET01|60|60|Y|N|Y|1|E
104|BCP|ET01|60|60|Y|N|Y|1|E
105|EML|ET01|60|60|Y|N|Y|1|E
106|SKN|ET01|60|60|Y|N|Y|1|E
107|WEB|ET01|60|60|Y|N|Y|1|E
108|LOD|ET01|60|60|Y|N|Y|1|E
109|FID|ET01|60|60|Y|N|Y|1|E
110|GAM|ET01|60|60|Y|N|Y|1|E
111|MAP|ET01|60|60|Y|N|Y|1|E
112|SKC|ET01|60|60|Y|N|Y|1|E
113|UFC|ET01|60|60|Y|N|Y|1|E
114|PNG|ET01|60|60|Y|N|Y|1|E
115|NAU|ET01|60|60|Y|N|Y|1|E
116|MGW|ET01|60|60|Y|N|Y|1|E
117|MGP|ET01|60|60|Y|N|Y|1|E
118|NSS|ET01|60|60|Y|N|Y|1|E
119|DSC|ET01|60|60|Y|N|Y|1|E
